23	37.7	29.3	27	62	75	79
22.3	33.1	28.5	29	0	76	74
22.2	34.2	29.2	29.3	74	76	72
21	32.5	27.4	28.2	0	72	68
21	34.3	29.3	30.5	0	70	66
23.3	37	31.3	32.6	0	63	59
21.4	34.5	29	28.7	16	77	79
22.9	28.3	25.7	26.4	31	86	85
20.9	26.1	23	23.2	0.3	88	87
20.7	30.8	25.9	26.3	0	79	77
23.6	33.3	28.6	29.8	0	76	71
23.8	32.7	29.3	30.5	0	77	73
23.9	34.6	30.3	30.4	7	74	70
22.4	31.7	28.1	29.1	0	79	76
22.9	34.7	30.8	31.7	0	75	69
22.9	34.5	28	26.9	66	81	83
22	27	24.2	24.1	12	90	92
15.4	23.6	19.8	20.6	1	81	82
16	24.7	21.2	21.9	4	80	79
18.2	26.2	22.5	22.8	0.1	79	78
16	27.4	22.6	22.5	0	75	78
19.7	29.8	25.7	26.7	0	73	73
22.2	30.8	27.1	28.1	0	76	72
22	33.5	28.9	30	11	70	71
20.5	26	23.3	23.8	0	87	86
21.6	30.5	26.6	28	0	78	73
21.8	33.9	27.7	28.4	0	77	78
22.7	33.8	29.2	30.8	0	73	68
22.3	34	29.8	30.5	0	68	62
25	33.5	29.7	30	1	68	66
23.6	30.8	27.6	28.3	0	73	70
22.3	28.6	26	26.4	3	77	80
22.2	29.4	26.4	26.7	1	84	89
23.2	29.3	25.6	25	0.1	84	85
21.4	33	28.2	28.9	0	75	73
24.5	31.4	27.4	27.2	36	84	83
21.1	28.2	24.9	25	1	86	85
23	31.2	28	28.8	0	80	77
23.8	33.2	28.5	28.9	0	81	78
24.3	34	29.7	30.2	1	75	75
23.6	28.8	26.2	26.3	0.6	86	85
22.8	30.8	27.4	28.4	0	81	79
22.4	28.6	26	26.3	0	79	78
19.1	24.6	22.1	22.2	0	81	79
19.8	29.8	25.8	26.5	0	73	66
19.5	30.2	25.3	25.4	0	73	69
21	28.9	25.5	25.8	0	71	70
20.8	31	26.7	27.5	2	70	65
20.5	30	25.2	25.5	0	80	80
20.1	31.8	26.5	27	0.9	75	74
18	31	25.8	26.1	0	71	69
19.2	32.5	26.8	27.9	0	72	68
19.8	33.3	27.6	28.7	0	72	69
22	34.3	28.9	29.7	0	70	67
18.1	27.9	20.2	20.4	10	87	89
16.8	20.6	19.1	19.2	3	80	78
15.3	21.7	18.3	18.6	0.2	79	77
15.7	22.7	19	18.5	0	74	75
16.1	25	20.9	21.6	0	76	73
17.2	25.6	20.9	19.9	0	72	72
17.9	25.2	21.2	20.4	0	76	74
19	24.9	21.9	22.1	0	77	78
18.8	25.8	22.9	23.2	0	77	76
19.9	30.2	25.1	25	0	69	71
17.3	30.9	24.9	25.5	0	71	73
16	23.4	17.3	17.1	0	76	75
14.5	22	18.5	19.2	0	67	64
15.8	23.6	19.8	20.4	0	72	73
14.7	27.3	22.4	24.1	0	75	73
19.4	29.4	24.7	25.3	0	76	73
18	30.6	25.9	27.2	0	78	77
23	32.4	27.7	28.2	0	78	76
23.1	28.5	25.8	26.2	4	83	82
16.3	23.5	19.2	19.3	12	96	96
14.4	18.8	15.3	15.1	0.3	86	87
13.8	18.5	16.7	16.9	0.7	81	82
14.6	18.7	17.1	17.5	0.4	89	90
16.1	24	19.4	19.3	0	77	75
13	23.2	18.9	20.1	0	79	78
17.6	21.4	19.5	19.8	0.1	87	88
17.8	22.6	20.1	19.8	0	83	83
17.3	24.8	21.3	22.3	0	76	79
17.6	26.8	22.5	22.6	0	73	70
19.4	27	23.4	23.8	5	72	71
18.8	28.5	23.3	23.6	0	72	72
14.2	27.7	21.6	22	0	76	78
18	28.2	23.2	22.9	0	73	75
15.8	30.8	23.7	24.3	3	72	74
11.9	25	13	13.1	4	91	93
9.8	15	12.6	13	0.6	90	91
12.4	20	16.1	16.4	0	81	80
10.8	22	16.2	16.3	0	73	74
10.3	21.5	16.2	16.6	0	67	61
11	22	16.9	17.2	0	68	67
8.9	22.4	16.2	16.8	0	70	74
8.8	23.1	16.5	16.6	0	74	79
9.4	26.1	19.2	21.2	0.8	64	57
10.5	20	11.6	11.5	8	93	94
8.8	14.7	11.8	11.9	0	86	88
6.6	21	13.8	12.6	0	79	89
5.8	26.2	15.9	16.3	0	75	79
9.5	23.6	17	17.7	0	74	78
13.5	19.1	16	15.9	0.5	83	86
13.7	17.2	15.8	16.1	0	88	89
14.7	22	18.2	18	0	82	81
14.8	20.6	17.3	17	0	60	56
12	21.7	17.8	18.7	0	71	71
15.5	21.7	18.3	18.3	0.8	75	73
15.3	18.1	16.6	16.7	0.1	91	91
14	18.2	16.1	15.8	0.5	89	90
14.6	17.7	16.4	16.8	3	93	94
14	19	16.4	15.6	0	85	91
8.3	21.5	15.5	16.2	0	72	74
9.1	19.2	14	12.8	0	68	68
8.5	21	15.9	16.1	0	67	75
9.8	22.8	16.2	15.2	0	71	72
8.6	21.9	16.6	16.9	0	73	75
8.2	22.1	16.2	16.4	0	75	78
7.3	23	15.8	16	0	74	77
6.9	23.8	16.1	16.1	0	73	77
10.4	23	17.6	17.4	0	74	76
14.3	18	16.3	16.4	0	71	70
12.9	17.5	15	15.2	0	79	78
13.6	17.1	15.3	15.5	0	81	81
13.6	22.7	18	17.9	0	76	77
11.6	21.3	17.3	17.8	0	82	79
11.9	24.6	18.4	18.3	0	82	89
13.2	25.9	19.5	18.9	0	83	88
16.4	26.1	21.7	21.4	2	75	72
16.4	21.7	18.7	18.9	0.4	90	90
16.6	20	18.7	18.9	0.1	92	92
15.8	18.6	17.4	17.5	0	86	84
14.4	17.9	16.1	16.4	0.2	81	81
14.1	17.4	15.9	16.1	0	82	81
14	18.4	16.2	16.3	0	73	68
13.4	19.8	16.6	17.2	0	79	77
10.9	25.6	18.2	18.8	0	74	74
15	18	16.5	16.8	0	62	60
